CountryName,CountryCode,Year,BirthRate,DeathRate,CountryName_fsi,CountryName_wb,Region,IncomeGroup,Country,Year_fsi,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Population,GDP
El Salvador,SLV,1991,30.833,7.789,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5342190,5252342400
El Salvador,SLV,1992,30.441,7.53,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5416327,5813399300
El Salvador,SLV,1993,30.016,7.321,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5490478,6680269200
El Salvador,SLV,1994,29.538,7.162,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5561916,7679384000
El Salvador,SLV,1995,28.982,7.048,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5628602,8921947100
El Salvador,SLV,1996,28.323,6.967,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5689943,9586327800
El Salvador,SLV,1997,27.568,6.907,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5746288,10221705900
El Salvador,SLV,1998,26.734,6.858,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5797764,10936669900
El Salvador,SLV,1999,25.843,6.813,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5844834,11284197000
El Salvador,SLV,2000,24.931,6.772,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5887930,11784927700
El Salvador,SLV,2001,24.04,6.736,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5927001,12282533600
El Salvador,SLV,2002,23.21,6.711,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5962139,12664190300
El Salvador,SLV,2003,22.47,6.701,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,5994075,13243892200
El Salvador,SLV,2004,21.835,6.705,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,6023801,13724810900
El Salvador,SLV,2005,21.311,6.72,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,,,,,,,,,,,,,,,,,6052124,14698000000
El Salvador,SLV,2006,20.884,6.742,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2006,77th,76.1,6,3.9,6,5,7,7,7,7.4,6.7,8.5,6.1,5.5,6079395,15999890000
El Salvador,SLV,2007,20.525,6.769,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2007,91st,74.9,5.8,3.9,6,5.4,7.3,7,7,6.9,6.9,7.6,5.6,5.5,6105810,17011750000
El Salvador,SLV,2008,20.207,6.797,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2008,91st,75.5,6.3,3.9,6,6,7.6,7,7,6.5,7,7.4,5.6,5.2,6131767,17986890000
El Salvador,SLV,2009,19.918,6.824,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2009,90th,77.2,6.4,4.5,6.2,6.3,7.8,6.9,7,6.6,6.9,7.6,5.7,5.3,6157678,17601620000
El Salvador,SLV,2010,19.654,6.848,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2010,85th,78.1,6.7,4.5,5.9,6.6,7.9,7.1,6.8,7,6.7,8.1,5.7,5.1,6183877,18447920000
El Salvador,SLV,2011,19.418,6.87,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2011,89th,76,7,4.3,5.8,6.3,7.6,7.1,6.5,6.9,6.7,7.6,5.3,4.9,6210567,20283780000
El Salvador,SLV,2012,19.213,6.891,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2012,93rd,74.4,6.7,4.3,6,6,7.3,7.2,6.2,6.6,6.4,7.7,5.2,4.8,6237922,21386150000
El Salvador,SLV,2013,19.036,6.913,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2013,95th,73.2,6.4,4.3,5.7,6.5,7,6.9,5.9,6.5,6.1,7.4,5.5,5.1,6266076,21990960000
El Salvador,SLV,2014,18.881,6.935,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2014,100th,72,6.1,4.3,6,6.2,6.9,6.6,5.6,6.4,5.8,7.1,5.6,5.4,6295124,22593470000
El Salvador,SLV,2015,18.734,6.959,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2015,102nd,71.4,6.5,4.3,6.3,5.9,6.6,6.9,4.8,6.7,6.1,6.9,5.1,5.3,6325121,23438240000
El Salvador,SLV,2016,18.587,6.984,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2016,96th,72.5,7,4.3,6.2,5.6,6.6,7.5,5,6.6,6.5,6.6,5,5.6,6356137,24191430000
El Salvador,SLV,2017,18.429,7.011,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2017,92nd,73.1,7.3,4.3,6.7,5.4,6.4,7.9,4.8,6.4,6.3,6.9,4.8,5.9,6388124,24979190000
El Salvador,SLV,2018,18.253,7.04,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2018,96th,71.16006105,7.216717903,4.3,6.4,5.343343147,6.1,7.9,4.5,6.1,6,6.9,4.8,5.6,6420740,26020850000
El Salvador,SLV,2019,18.054,7.07,El Salvador,El Salvador,Latin America & Caribbean,Lower middle income,El Salvador,2019,96th,69.8,6.9,4.3,6.1,5.4,5.8,8.5,4.2,5.8,5.7,7,4.8,5.3,6453550,26896660000
Equatorial Guinea,GNQ,1960,40.874,28.015,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,255338,
Equatorial Guinea,GNQ,1961,40.745,27.624,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,258786,
Equatorial Guinea,GNQ,1962,40.663,27.218,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,262219,9122751.453
Equatorial Guinea,GNQ,1963,40.634,26.81,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,266005,10840095.13
Equatorial Guinea,GNQ,1964,40.658,26.419,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,270616,12712471.4
Equatorial Guinea,GNQ,1965,40.73,26.085,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,276296,64748333.33
Equatorial Guinea,GNQ,1966,40.843,25.853,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,283506,69110000
Equatorial Guinea,GNQ,1967,40.982,25.74,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,291786,72317446.93
Equatorial Guinea,GNQ,1968,41.137,25.739,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,299416,67514285.71
Equatorial Guinea,GNQ,1969,41.299,25.83,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,304000,67225714.29
Equatorial Guinea,GNQ,1970,41.467,25.969,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,303986,66331428.57
Equatorial Guinea,GNQ,1971,41.644,26.104,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,298852,64946954.76
Equatorial Guinea,GNQ,1972,41.833,26.172,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,289508,65429198.24
Equatorial Guinea,GNQ,1973,42.033,26.12,Equatorial Guinea,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,,,,,,,,,,,,,,277656,81203226.91
